integration,metric_name,metric_type,metric_enabled,description
Couchbase,bucket.activeResidentItemsRatio,gauge,true,Percentage of active items cached in RAM in this bucket.
Couchbase,bucket.averageDiskCommitTimeInMilliseconds,gauge,true,The average disk commit time in seconds of the Bucket.
Couchbase,bucket.averageDiskUpdateTimeInMilliseconds,gauge,true,The average disk update time in microseconds of the Bucket.
Couchbase,bucket.cacheMissRatio,gauge,true,Percentage of reads per second to this Bucket from disk as opposed to RAM.
Couchbase,bucket.currentConnections,gauge,true,"Number of connections to this server including connections from external client SDKs, proxies, TAP requests and internal statistic gathering."
Couchbase,bucket.dataUsedInBytes,gauge,true,Amount of data used by this bucket.
Couchbase,bucket.decrementHitsPerSecond,gauge,true,The number of decrement hits per second of the Bucket.
Couchbase,bucket.decrementMissesPerSecond,gauge,true,The number of decrement misses per second of the Bucket.
Couchbase,bucket.deleteHitsPerSecond,gauge,true,The number of delete hits per second for this Bucket.
Couchbase,bucket.deleteMissesPerSecond,gauge,true,The number of delete misses per second for this Bucket.
Couchbase,bucket.diskCreateOperationsPerSecond,gauge,true,Number of new items created on disk per second for this Bucket.
Couchbase,bucket.diskFetchesPerSecond,gauge,true,The number of operations required to fetch items from disk on the Bucket.
Couchbase,bucket.diskUpdateOperationsPerSecond,gauge,true,Number of items updated on disk per second for this Bucket.
Couchbase,bucket.diskUsedInBytes,gauge,true,The amount of disk space in use for the Bucket.
Couchbase,bucket.diskWriteQueue,gauge,true,Number of items waiting to be written to disk in the Bucket.
Couchbase,bucket.ejectionsPerSecond,gauge,true,Total number of items per second being ejected to disk in this bucket
Couchbase,bucket.evictionPolicy,attribute,true,The Eviction policy of the bucket.
Couchbase,bucket.evictionsPerSecond,gauge,true,The number of items per second evicted from the Bucket.
Couchbase,bucket.getHitsPerSecond,gauge,true,Number of get operations per second for data that this bucket contains.
Couchbase,bucket.getMissesPerSecond,gauge,true,Number of get operations per second for data that this bucket does not contain.
Couchbase,bucket.hitRatio,gauge,true,Percentage of get requests served with data from this bucket.
Couchbase,bucket.incrementHitsPerSecond,gauge,true,The number of increment hits per second of the Bucket.
Couchbase,bucket.incrementMissesPerSecond,gauge,true,The number of increment misses per second of the Bucket.
Couchbase,bucket.itemCount,gauge,true,The number of objects stored in the Bucket.
Couchbase,bucket.memoryHighWaterMarkInBytes,gauge,true,High water mark for auto-evictions on the Bucket.
Couchbase,bucket.memoryLowWaterMarkInBytes,gauge,true,Low water mark for auto-evictions on the Bucket.
Couchbase,bucket.memoryUsedInBytes,gauge,true,The amount of RAM used for the Bucket.
Couchbase,bucket.metadataInRAMInBytes,gauge,true,Amount of RAM used for metadata on this bucket.
Couchbase,bucket.missesPerSecond,gauge,true,The number of misses per second of the Bucket.
Couchbase,bucket.outOfMemoryErrorsPerSecond,gauge,true,Number of Hard Out of Memory Errors for this bucket.
Couchbase,bucket.OverheadInBytes,gauge,true,"The extra memory used by transient data (persistence queues, replication queues, checkpoints, etc.) on the Bucket."
Couchbase,bucket.pendingResidentItemsRatio,gauge,true,Percentage of pending items cached in RAM in this bucket.
Couchbase,bucket.quotaUtilization,gauge,true,The percent of RAM Quota currently in use on the Bucket.
Couchbase,bucket.readOperationsPerSecond,gauge,true,The number of reads (get operations) per second from this Bucket.
Couchbase,bucket.readRatePerSecond,gauge,true,The bytes read of the Bucket.
Couchbase,bucket.replicaIndex,gauge,true,Defines if the bucket has replica indexes enabled.
Couchbase,bucket.replicaNumber,gauge,true,Number of replicas of this bucket.
Couchbase,bucket.replicaResidentItemsRatio,gauge,true,Percentage of replica items cached in RAM in this bucket.
Couchbase,bucket.residentItemsRatio,gauge,true,Percentage of all items cached in RAM in this Bucket.
Couchbase,bucket.temporaryOutOfMemoryErrorsPerSecond,gauge,true,"Number of back-offs sent per second to client SDKs due to ""out of memory"" situations from this Bucket."
Couchbase,bucket.threadsNumber,gauge,true,The number of concurrent readers and writers for the data bucket.
Couchbase,bucket.totalOperationsPerSecond,gauge,true,The total operations per second of the Bucket.
Couchbase,bucket.writeOperationsPerSecond,gauge,true,The number of writes (set operations) per second to this Bucket.
